tipo;arrival_time;memoria_pedida;processamento_pedido;tempo_pedido;n_servidores_low_mem(1000 - 3000);n_servidores_low_cpu(1000 - 3000);n_servidores_med_mem(3000 - 7000);n_servidores_med_cpu(3000 - 7000);n_servidores_high_mem(7000 - 10000);n_servidores_high_cpu(7000 - 10000); tempo_de_espera 
Smart;0;58;20;182;0;3;0;0;3;0;795
Cheap;0;35;73;155;0;3;0;0;3;0;867
Cheap;0;91;91;146;0;3;0;0;3;0;892
Smart;0;62;56;223;0;3;0;0;3;0;829
InAHurry;0;58;13;137;0;3;0;0;3;0;829
InAHurry;0;75;38;101;0;3;0;0;3;0;837
Cheap;0;82;40;157;0;3;0;0;3;0;927
Smart;0;31;31;208;0;3;0;0;3;0;843
Smart;0;99;55;134;0;3;0;0;3;0;863
Cheap;0;42;85;148;0;3;0;0;3;0;1022
Smart;0;35;71;116;0;3;0;0;3;0;863
Smart;0;76;79;158;0;3;0;0;3;0;864
Smart;0;13;36;237;0;3;0;0;3;0;843
Smart;0;54;60;291;0;3;0;0;3;0;897
InAHurry;0;10;96;264;0;3;0;0;3;0;915
Smart;0;28;48;214;0;3;0;0;3;0;931
InAHurry;0;83;89;213;0;3;0;0;3;0;884
Smart;0;89;60;292;0;3;0;0;3;0;895
Cheap;0;24;10;136;0;3;0;0;3;0;1022
InAHurry;0;69;95;139;0;3;0;0;3;0;937
InAHurry;0;52;71;111;0;3;0;0;3;0;949
Smart;0;15;28;230;0;3;0;0;3;0;949
InAHurry;0;19;67;214;0;3;0;0;3;0;966
Cheap;0;47;92;230;0;3;0;0;3;0;1060
Cheap;0;94;77;248;0;3;0;0;3;0;1076
InAHurry;0;78;12;185;0;3;0;0;3;0;980
Smart;0;36;71;105;0;3;0;0;3;0;980
Smart;0;81;16;273;0;3;0;0;3;0;997
InAHurry;0;18;75;220;0;3;0;0;3;0;997
InAHurry;0;13;70;190;0;3;0;0;3;0;987
Smart;0;60;74;219;0;3;0;0;3;0;1001
Cheap;0;92;51;271;0;3;0;0;3;0;1101
Smart;0;81;97;208;0;3;0;0;3;0;1038
Smart;0;60;23;300;0;3;0;0;3;0;1017
Cheap;0;76;26;157;0;3;0;0;3;0;1101
InAHurry;0;11;91;216;0;3;0;0;3;0;1042
Cheap;0;48;88;114;0;3;0;0;3;0;1102
Cheap;0;45;69;226;0;3;0;0;3;0;1180
InAHurry;0;22;25;125;0;3;0;0;3;0;957
Smart;0;20;14;112;0;3;0;0;3;0;957
InAHurry;0;21;47;154;0;3;0;0;3;0;957
Smart;0;32;100;133;0;3;0;0;3;0;1085
InAHurry;0;87;25;273;0;3;0;0;3;0;1018
Smart;0;73;23;145;0;3;0;0;3;0;1085
Cheap;0;71;71;285;0;3;0;0;3;0;1187
Smart;0;18;80;251;0;3;0;0;3;0;1091
Cheap;0;41;54;258;0;3;0;0;3;0;1184
Smart;0;67;60;278;0;3;0;0;3;0;1085
Smart;0;25;57;262;0;3;0;0;3;0;1119
Smart;0;59;96;164;0;3;0;0;3;0;1159
Cheap;0;72;21;143;0;3;0;0;3;0;1184
Cheap;0;89;63;198;0;3;0;0;3;0;1283
InAHurry;0;85;22;178;0;3;0;0;3;0;1086
Smart;0;28;80;108;0;3;0;0;3;0;1142
Cheap;0;82;88;151;0;3;0;0;3;0;1307
InAHurry;0;69;61;119;0;3;0;0;3;0;1154
InAHurry;0;20;31;208;0;3;0;0;3;0;1165
Smart;0;54;51;171;0;3;0;0;3;0;1165
Smart;0;64;78;300;0;3;0;0;3;0;1177
Cheap;0;59;40;175;0;3;0;0;3;0;1307
InAHurry;0;12;20;226;0;3;0;0;3;0;1186
Smart;0;49;58;150;0;3;0;0;3;0;1210
Cheap;0;62;14;231;0;3;0;0;3;0;1307
Smart;0;17;69;156;0;3;0;0;3;0;1234
Smart;0;56;44;199;0;3;0;0;3;0;1228
