tipo;arrival_time;memoria_pedida;processamento_pedido;tempo_pedido;n_servidores_low_mem(1000 - 3000);n_servidores_low_cpu(1000 - 3000);n_servidores_med_mem(3000 - 7000);n_servidores_med_cpu(3000 - 7000);n_servidores_high_mem(7000 - 10000);n_servidores_high_cpu(7000 - 10000); tempo_de_espera 
0;0;558;348;590;1;2;1;0;1;1;1592
0;0;907;818;414;1;2;1;0;1;1;1772
2;0;208;748;459;1;2;1;0;1;1;4232
0;0;577;903;690;1;2;1;0;1;1;1665
0;0;962;813;870;1;2;1;0;1;1;1650
1;0;865;239;107;1;2;1;0;1;1;1660
0;0;323;170;464;1;2;1;0;1;1;1533
1;0;628;164;775;1;2;1;0;1;1;1675
0;0;901;889;718;1;2;1;0;1;1;1723
0;0;542;282;672;1;2;1;0;1;1;1387
1;0;483;363;458;1;2;1;0;1;1;1506
2;0;570;203;807;1;2;1;0;1;1;4232
0;0;448;637;916;1;2;1;0;1;1;1545
0;0;618;177;250;1;2;1;0;1;1;1506
2;0;737;166;215;1;2;1;0;1;1;4232
1;0;143;333;222;1;2;1;0;1;1;1545
0;0;211;388;927;1;2;1;0;1;1;1601
0;0;594;177;853;1;2;1;0;1;1;1601
0;0;922;857;130;1;2;1;0;1;1;1752
1;0;666;918;264;1;2;1;0;1;1;1807
1;0;927;981;922;1;2;1;0;1;1;1848
0;0;519;947;728;1;2;1;0;1;1;1882
1;0;167;645;816;1;2;1;0;1;1;1963
1;0;244;417;219;1;2;1;0;1;1;1964
2;0;141;679;892;1;2;1;0;1;1;4022
0;0;698;299;569;1;2;1;0;1;1;1882
1;0;471;557;584;1;2;1;0;1;1;2059
2;0;441;653;139;1;2;1;0;1;1;4297
0;0;699;831;293;1;2;1;0;1;1;2071
0;0;510;396;202;1;2;1;0;1;1;2034
1;0;474;391;539;1;2;1;0;1;1;2046
1;0;775;602;540;1;2;1;0;1;1;1966
2;0;375;110;723;1;2;1;0;1;1;4297
1;0;909;711;624;1;2;1;0;1;1;1940
0;0;135;514;726;1;2;1;0;1;1;1862
1;0;636;817;450;1;2;1;0;1;1;1945
0;0;549;206;450;1;2;1;0;1;1;1961
2;0;263;458;788;1;2;1;0;1;1;3968
0;0;702;987;769;1;2;1;0;1;1;1965
0;0;886;188;705;1;2;1;0;1;1;1950
0;0;109;723;344;1;2;1;0;1;1;2097
0;0;715;463;668;1;2;1;0;1;1;1998
0;0;899;857;615;1;2;1;0;1;1;2159
1;0;687;361;323;1;2;1;0;1;1;2114
2;0;279;844;463;1;2;1;0;1;1;4581
1;0;686;533;347;1;2;1;0;1;1;2227
1;0;401;492;489;1;2;1;0;1;1;2251
0;0;944;621;376;1;2;1;0;1;1;2291
0;0;904;912;775;1;2;1;0;1;1;2395
0;0;577;249;480;1;2;1;0;1;1;2396
0;0;359;339;597;1;2;1;0;1;1;2396
0;0;574;463;589;1;2;1;0;1;1;2421
0;0;243;938;650;1;2;1;0;1;1;2399
0;0;206;805;749;1;2;1;0;1;1;2429
2;0;600;883;887;1;2;1;0;1;1;4756
1;0;337;998;547;1;2;1;0;1;1;2432
1;0;819;353;230;1;2;1;0;1;1;2437
1;0;912;839;586;1;2;1;0;1;1;2558
2;0;685;612;608;1;2;1;0;1;1;5044
0;0;199;921;613;1;2;1;0;1;1;2456
1;0;264;580;757;1;2;1;0;1;1;2498
1;0;764;178;727;1;2;1;0;1;1;2456
0;0;146;415;642;1;2;1;0;1;1;2595
1;0;444;645;621;1;2;1;0;1;1;2625
0;0;889;286;588;1;2;1;0;1;1;2475
0;0;867;986;785;1;2;1;0;1;1;2594
0;0;308;600;424;1;2;1;0;1;1;2594
0;0;522;454;878;1;2;1;0;1;1;2603
2;0;575;297;531;1;2;1;0;1;1;5044
0;0;466;744;624;1;2;1;0;1;1;2708
0;0;767;454;105;1;2;1;0;1;1;2609
2;0;232;997;727;1;2;1;0;1;1;5643
2;0;234;429;450;1;2;1;0;1;1;5652
0;0;918;342;795;1;2;1;0;1;1;2608
1;0;742;361;123;1;2;1;0;1;1;2608
1;0;994;505;458;1;2;1;0;1;1;2608
1;0;872;310;764;1;2;1;0;1;1;2609
0;0;594;110;659;1;2;1;0;1;1;2609
1;0;375;436;196;1;2;1;0;1;1;2664
1;0;144;631;555;1;2;1;0;1;1;2689
0;0;703;775;464;1;2;1;0;1;1;2689
1;0;546;479;385;1;2;1;0;1;1;2714
0;0;723;258;303;1;2;1;0;1;1;2731
0;0;271;726;119;1;2;1;0;1;1;2731
1;0;267;675;546;1;2;1;0;1;1;2765
1;0;241;984;749;1;2;1;0;1;1;2850
2;0;617;161;450;1;2;1;0;1;1;5330
1;0;360;410;263;1;2;1;0;1;1;2777
0;0;641;212;625;1;2;1;0;1;1;2777
0;0;622;723;452;1;2;1;0;1;1;2860
1;0;376;554;325;1;2;1;0;1;1;2938
2;0;639;516;322;1;2;1;0;1;1;5780
1;0;556;902;963;1;2;1;0;1;1;2941
1;0;516;447;808;1;2;1;0;1;1;2938
0;0;582;163;865;1;2;1;0;1;1;3034
1;0;698;950;339;1;2;1;0;1;1;3040
0;0;129;953;116;1;2;1;0;1;1;3103
1;0;311;457;141;1;2;1;0;1;1;3103
1;0;162;348;283;1;2;1;0;1;1;3087
1;0;940;979;666;1;2;1;0;1;1;3097
1;0;480;929;611;1;2;1;0;1;1;3064
2;0;311;995;614;1;2;1;0;1;1;5931
2;0;622;448;373;1;2;1;0;1;1;6102
2;0;415;905;897;1;2;1;0;1;1;6475
2;0;580;937;268;1;2;1;0;1;1;6545
0;0;884;318;349;1;2;1;0;1;1;3045
0;0;411;960;796;1;2;1;0;1;1;3051
0;0;565;665;475;1;2;1;0;1;1;3070
1;0;985;733;754;1;2;1;0;1;1;3113
0;0;239;429;356;1;2;1;0;1;1;3108
0;0;130;822;246;1;2;1;0;1;1;3170
0;0;546;950;691;1;2;1;0;1;1;3237
0;0;101;291;730;1;2;1;0;1;1;3237
2;0;804;203;406;1;2;1;0;1;1;6813
2;0;656;580;402;1;2;1;0;1;1;6813
1;0;898;704;112;1;2;1;0;1;1;3194
2;0;367;647;680;1;2;1;0;1;1;7215
0;0;760;487;571;1;2;1;0;1;1;3306
1;0;655;168;277;1;2;1;0;1;1;3306
1;0;835;264;407;1;2;1;0;1;1;3259
2;0;167;931;217;1;2;1;0;1;1;7372
1;0;780;616;214;1;2;1;0;1;1;3302
1;0;991;860;649;1;2;1;0;1;1;3315
2;0;848;496;250;1;2;1;0;1;1;7254
1;0;607;991;569;1;2;1;0;1;1;3360
1;0;267;902;285;1;2;1;0;1;1;3451
2;0;968;473;886;1;1;1;1;1;1;0
0;0;102;824;824;1;1;1;1;1;1;0
1;0;931;168;246;1;1;1;1;1;1;0
1;0;143;247;199;1;1;1;1;1;1;0
0;0;563;476;285;1;1;1;1;1;1;0
1;0;318;657;191;1;1;1;1;1;1;0
2;0;762;481;162;1;1;1;1;1;1;0
0;0;153;472;178;1;1;1;1;1;1;0
1;0;247;956;564;1;1;1;1;1;1;0
0;0;558;295;338;1;1;1;1;1;1;0
2;0;361;360;943;1;1;1;1;1;1;0
1;0;266;907;687;1;1;1;1;1;1;0
2;0;674;155;851;1;1;1;1;1;1;0
0;0;863;187;358;1;1;1;1;1;1;0
2;0;737;960;962;1;1;1;1;1;1;0
0;0;713;354;788;1;1;1;1;1;1;0
1;0;374;716;750;1;1;1;1;1;1;0
0;0;702;184;654;1;1;1;1;1;1;0
1;0;383;413;460;1;1;1;1;1;1;0
0;0;200;484;244;1;1;1;1;1;1;0
0;0;720;395;814;1;1;1;1;1;1;0
0;0;549;831;485;1;1;1;1;1;1;0
0;0;115;961;197;1;1;1;1;1;1;0
0;0;667;132;316;1;1;1;1;1;1;0
1;0;615;993;152;1;1;1;1;1;1;0
1;0;354;989;280;1;1;1;1;1;1;0
1;0;928;160;453;1;1;1;1;1;1;0
0;0;229;457;652;1;1;1;1;1;1;0
2;0;613;838;174;1;1;1;1;1;1;0
0;0;449;184;324;1;1;1;1;1;1;0
0;0;329;555;621;1;1;1;1;1;1;0
0;0;348;243;171;1;1;1;1;1;1;0
0;0;177;407;584;1;1;1;1;1;1;0
1;0;959;610;900;1;1;1;1;1;1;814
0;0;706;989;793;1;1;1;1;1;1;152
0;0;710;241;607;1;1;1;1;1;1;171
0;0;261;348;194;1;1;1;1;1;1;0
1;0;609;943;173;1;1;1;1;1;1;0
0;0;241;937;234;1;1;1;1;1;1;0
2;0;421;206;373;1;1;1;1;1;1;814
0;0;308;700;652;1;1;1;1;1;1;173
2;0;818;293;707;1;1;1;1;1;1;1714
1;0;892;483;492;1;1;1;1;1;1;0
1;0;127;435;393;1;1;1;1;1;1;0
1;0;257;374;328;1;1;1;1;1;1;0
1;0;514;305;804;1;1;1;1;1;1;0
1;0;953;213;200;1;1;1;1;1;1;0
0;0;476;139;838;1;1;1;1;1;1;0
1;0;406;181;318;1;1;1;1;1;1;173
1;0;275;531;940;1;1;1;1;1;1;173
1;0;251;721;468;1;1;1;1;1;1;173
0;0;353;369;474;1;1;1;1;1;1;194
0;0;749;801;159;1;1;1;1;1;1;318
2;0;765;877;392;1;1;1;1;1;1;2421
1;0;539;903;934;1;1;1;1;1;1;453
1;0;776;730;697;1;1;1;1;1;1;474
1;0;923;348;609;1;1;1;1;1;1;485
0;0;865;966;750;1;1;1;1;1;1;477
